External Library Name, Link to License, License Name, Binaries using the license.
lz4, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev/NOTICE, BSD-2-Clause, emugl_common.dylib ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-x86_64-headless ./qemu/darwin-x86_64/qemu-system-i386-headless ./qemu/darwin-x86_64/qemu-system-armel ./emulator-check ./qemu/darwin-x86_64/qemu-system-i386 ./qemu-img ./emulator ./qsn ./qemu/darwin-x86_64/qemu-system-aarch64-headless ./qemu/darwin-x86_64/qemu-system-aarch64 OpenglRender.dylib ./qemu/darwin-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev
libvpx, https://chromium.googlesource.com/webm/libvpx/+/refs/heads/master/LICENSE, BSD-3-Clause, emugl_common.dylib ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-x86_64-headless ./qemu/darwin-x86_64/qemu-system-i386-headless ./qemu/darwin-x86_64/qemu-system-armel ./emulator-check ./qemu/darwin-x86_64/qemu-system-i386 ./qemu-img ./emulator ./qsn ./qemu/darwin-x86_64/qemu-system-aarch64-headless ./qemu/darwin-x86_64/qemu-system-aarch64 OpenglRender.dylib ./qemu/darwin-x86_64/qemu-system-armel-headless, https://chromium.googlesource.com/webm/libvpx/
Qt Gui, https://doc.qt.io/qt-5.12/qtGui-index.html#licenses-and-attributions, LGPL-3.0-only, ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-i386 ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-aarch64 ./qemu/darwin-x86_64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
Qt Core, https://doc.qt.io/qt-5.12/qtCore-index.html#licenses-and-attributions, LGPL-3.0-only, ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-i386 ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-aarch64 ./qemu/darwin-x86_64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
ext4_utils, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/NOTICE, Apache-2.0, emugl_common.dylib ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-x86_64-headless ./qemu/darwin-x86_64/qemu-system-i386-headless ./qemu/darwin-x86_64/qemu-system-armel ./emulator-check ./qemu/darwin-x86_64/qemu-system-i386 ./qemu-img ./emulator ./qsn ./qemu/darwin-x86_64/qemu-system-aarch64-headless ./qemu/darwin-x86_64/qemu-system-aarch64 OpenglRender.dylib ./qemu/darwin-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/
grpc, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-x86_64-headless ./qemu/darwin-x86_64/qemu-system-i386-headless ./qemu/darwin-x86_64/qemu-system-armel ./qemu/darwin-x86_64/qemu-system-i386 ./qsn ./qemu/darwin-x86_64/qemu-system-aarch64-headless ./qemu/darwin-x86_64/qemu-system-aarch64 ./qemu/darwin-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
libpng, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev/LICENSE, libpng, emugl_common.dylib ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-x86_64-headless ./qemu/darwin-x86_64/qemu-system-i386-headless ./qemu/darwin-x86_64/qemu-system-armel ./emulator-check ./qemu/darwin-x86_64/qemu-system-i386 ./qemu-img ./emulator ./qsn ./qemu/darwin-x86_64/qemu-system-aarch64-headless ./qemu/darwin-x86_64/qemu-system-aarch64 OpenglRender.dylib ./qemu/darwin-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev
Qt WebChannel, https://doc.qt.io/qt-5.12/qtWebChannel-index.html#licenses-and-attributions, LGPL-3.0-only, ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-i386 ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-aarch64 ./qemu/darwin-x86_64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
tinyobjloader, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master/LICENSE, MIT, emugl_common.dylib ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-x86_64-headless ./qemu/darwin-x86_64/qemu-system-i386-headless ./qemu/darwin-x86_64/qemu-system-armel ./emulator-check ./qemu/darwin-x86_64/qemu-system-i386 ./qemu-img ./emulator ./qsn ./qemu/darwin-x86_64/qemu-system-aarch64-headless ./qemu/darwin-x86_64/qemu-system-aarch64 OpenglRender.dylib ./qemu/darwin-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master
Qt Network, https://doc.qt.io/qt-5.12/qtNetwork-index.html#licenses-and-attributions, LGPL-3.0-only, ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-i386 ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-aarch64 ./qemu/darwin-x86_64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
libjpeg, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/NOTICE, IJG, emugl_common.dylib ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-x86_64-headless ./qemu/darwin-x86_64/qemu-system-i386-headless ./qemu/darwin-x86_64/qemu-system-armel ./emulator-check ./qemu/darwin-x86_64/qemu-system-i386 ./qemu-img ./emulator ./qsn ./qemu/darwin-x86_64/qemu-system-aarch64-headless ./qemu/darwin-x86_64/qemu-system-aarch64 OpenglRender.dylib ./qemu/darwin-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/
hostapd, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev/NOTICE, BSD, emugl_common.dylib ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-x86_64-headless ./qemu/darwin-x86_64/qemu-system-i386-headless ./qemu/darwin-x86_64/qemu-system-armel ./emulator-check ./qemu/darwin-x86_64/qemu-system-i386 ./qemu-img ./emulator ./qsn ./qemu/darwin-x86_64/qemu-system-aarch64-headless ./qemu/darwin-x86_64/qemu-system-aarch64 OpenglRender.dylib ./qemu/darwin-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev
nlohmann_json, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/NOTICE, MIT, emugl_common.dylib ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-x86_64-headless ./qemu/darwin-x86_64/qemu-system-i386-headless ./qemu/darwin-x86_64/qemu-system-armel ./emulator-check ./qemu/darwin-x86_64/qemu-system-i386 ./qemu-img ./emulator ./qsn ./qemu/darwin-x86_64/qemu-system-aarch64-headless ./qemu/darwin-x86_64/qemu-system-aarch64 OpenglRender.dylib ./qemu/darwin-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/
keymaster-3, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3/NOTICE, Apache-2.0, emugl_common.dylib ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-x86_64-headless ./qemu/darwin-x86_64/qemu-system-i386-headless ./qemu/darwin-x86_64/qemu-system-armel ./emulator-check ./qemu/darwin-x86_64/qemu-system-i386 ./qemu-img ./emulator ./qsn ./qemu/darwin-x86_64/qemu-system-aarch64-headless ./qemu/darwin-x86_64/qemu-system-aarch64 OpenglRender.dylib ./qemu/darwin-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3
Qt Svg, https://doc.qt.io/qt-5.12/qtSvg-index.html#licenses-and-attributions, LGPL-3.0-only, ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-i386 ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-aarch64 ./qemu/darwin-x86_64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
libwebp, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp/LICENSE, BSD-3-Clause, emugl_common.dylib ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-x86_64-headless ./qemu/darwin-x86_64/qemu-system-i386-headless ./qemu/darwin-x86_64/qemu-system-armel ./emulator-check ./qemu/darwin-x86_64/qemu-system-i386 ./qemu-img ./emulator ./qsn ./qemu/darwin-x86_64/qemu-system-aarch64-headless ./qemu/darwin-x86_64/qemu-system-aarch64 OpenglRender.dylib ./qemu/darwin-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp
swiftshader, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev/LICENSE.txt, Apache-2.0, lib64/gles_swiftshader/libGLES_CM.dylib lib64/gles_swiftshader/libGLESv2.dylib ./emulator lib64/gles_swiftshader/libEGL.dylib, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev
astc-codec, https://android.googlesource.com/platform/external/astc-codec/+/refs/heads/master/LICENSE, Apache-2.0, OpenglRender.dylib, https://android.googlesource.com/platform/external/astc-codec/+/refs/heads/master
address_sorting, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-x86_64-headless ./qemu/darwin-x86_64/qemu-system-i386-headless ./qemu/darwin-x86_64/qemu-system-armel ./qemu/darwin-x86_64/qemu-system-i386 ./qsn ./qemu/darwin-x86_64/qemu-system-aarch64-headless ./qemu/darwin-x86_64/qemu-system-aarch64 ./qemu/darwin-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
libyuv, https://android.googlesource.com/platform/external/chromium_org/third_party/libyuv/+/refs/heads/master/LICENSE, BSD-3-Clause, emugl_common.dylib ./emulator-crash-service ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-x86_64-headless ./qemu/darwin-x86_64/qemu-system-i386-headless ./qemu/darwin-x86_64/qemu-system-armel ./emulator-check ./qemu/darwin-x86_64/qemu-system-i386 ./qemu-img ./emulator ./qsn ./qemu/darwin-x86_64/qemu-system-aarch64-headless ./qemu/darwin-x86_64/qemu-system-aarch64 OpenglRender.dylib ./qemu/darwin-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/chromium_org/third_party/libyuv/+/refs/heads/master/
c-ares, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev/NOTICE, MIT, ./qemu/darwin-x86_64/qemu-system-x86_64 ./qemu/darwin-x86_64/qemu-system-x86_64-headless ./qemu/darwin-x86_64/qemu-system-i386-headless ./qemu/darwin-x86_64/qemu-system-armel ./qemu/darwin-x86_64/qemu-system-i386 ./qsn ./qemu/darwin-x86_64/qemu-system-aarch64-headless ./qemu/darwin-x86_64/qemu-system-aarch64 ./qemu/darwin-x86_64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev
